100 100000 0.75 gpomdp iter_bernstein 20000000
311 712 -0.000586715245614 2.02884787555e-07 -56.1268980987 -12.2653557219
312 709 -0.00058856818624 1.5916183984e-07 -56.1252118407 -12.1523913568
313 713 -0.000589989957986 2.37951275237e-07 -56.1239180432 -12.1339322649
314 660 -0.000592354415801 2.35840715837e-07 -56.1217665609 -12.1421803665
315 635 -0.00059481647051 2.06628264388e-07 -56.119526471 -12.1149312284
316 713 -0.000596719418745 2.07371131416e-07 -56.1177952204 -12.0319291027
317 694 -0.000598661862854 2.48869501423e-07 -56.1160281623 -12.1132813018
318 668 -0.000601144442623 2.20613512125e-07 -56.1137699215 -12.2717682564
319 690 -0.000603236627932 2.20243404405e-07 -56.1118669569 -12.0270607777
320 653 -0.000605443704865 1.86519804168e-07 -56.1098596501 -11.8797770775
321 671 -0.000607248273725 2.00052636678e-07 -56.1082185397 -12.2761809016
322 677 -0.000609174764575 1.87086848819e-07 -56.1064666711 -12.1581580308
323 713 -0.00061086752234 2.14777576295e-07 -56.1049274516 -12.3634967169
324 695 -0.000612898505137 1.68749440293e-07 -56.1030808113 -12.2220213643
325 676 -0.000614480800581 1.77216979789e-07 -56.1016422285 -12.0741745478
326 720 -0.00061607028904 2.00703718736e-07 -56.1001971901 -12.0319325282
327 710 -0.000617910783933 1.79661306274e-07 -56.0985240617 -12.0877337781
328 652 -0.000619673678947 2.07880741043e-07 -56.0969215825 -12.2071350294
329 688 -0.000621638267742 2.10180509463e-07 -56.0951358849 -12.2486946969
330 686 -0.000623629512286 1.88692265426e-07 -56.0933260901 -12.0585453377
331 666 -0.00062546591355 2.01578790866e-07 -56.0916571459 -12.1110639319
332 703 -0.00062734591488 2.48209275337e-07 -56.0899486938 -12.4913568203
333 686 -0.000629732608154 1.82263151646e-07 -56.0877799551 -12.1993520567
334 701 -0.000631413057031 2.18097596807e-07 -56.0862530799 -12.1533037539
335 714 -0.000633405085474 2.15639247549e-07 -56.0844432218 -12.3818188173
336 662 -0.000635513661722 2.14347494301e-07 -56.0825276183 -12.2521422157
337 686 -0.000637570660512 1.99691473688e-07 -56.0806590148 -12.1289449341
338 715 -0.000639388077748 2.54740895741e-07 -56.0790081674 -12.2167041003
339 668 -0.000641920174927 2.16349033378e-07 -56.0767083254 -12.1971672091
340 695 -0.000643968557022 2.28451808233e-07 -56.0748479863 -11.964952251
341 676 -0.000646197579122 1.9790526133e-07 -56.0728237489 -12.0226679022
342 691 -0.000648069197625 1.8463295281e-07 -56.0711242075 -12.2850097846
343 689 -0.000649806553455 2.12014847465e-07 -56.0695466891 -12.3201916401
344 694 -0.000651812128227 1.94343017823e-07 -56.0677257529 -12.2535878585
345 719 -0.000653563253748 2.28194920298e-07 -56.0661359502 -12.1157162868
346 630 -0.000655922388983 1.96028788954e-07 -56.0639943122 -11.9333165734
347 673 -0.000657814788767 1.92143558845e-07 -56.0622765135 -12.2484349316
348 680 -0.000659649830849 2.06333554957e-07 -56.0606108943 -12.2757488303
349 722 -0.000661519974603 2.33416472023e-07 -56.0589135296 -12.1218566175
350 712 -0.000663669324463 1.99216315305e-07 -56.0569628978 -12.0678014652
351 657 -0.000665643543769 2.13840671453e-07 -56.0551713403 -12.3394171303
352 733 -0.00066757020108 2.11053069913e-07 -56.0534230692 -12.1471581173
353 697 -0.000669554098592 1.60705409664e-07 -56.0516229868 -11.9871918813
354 673 -0.00067107653574 2.21395269315e-07 -56.0502416976 -12.2575005284
