10 500000 0.95 gpomdp sample_bernstein 30000000

634 4000  0.01 192.17975
635 4000  0.01 194.35025
636 4000  0.01 193.43925
637 4000  0.01 194.20575
638 4000  0.01 192.09
639 4000  0.01 194.2515
640 4000  0.01 193.52175
641 4000  0.01 194.52525
642 4000  0.01 194.01625
643 4000  0.01 193.50775
644 4000  0.01 191.79875
645 4000  0.01 192.325
646 4000  0.01 191.944
647 4000  0.01 193.939
648 4000  0.01 194.35075
649 4000  0.01 193.699
650 4000  0.01 192.505
651 4000  0.01 193.64475
652 4000  0.01 191.75075
653 4000  0.01 191.4315
654 4000  0.01 191.755
655 4000  0.01 192.17025
656 4000  0.01 190.476
657 4000  0.01 194.8805
658 4000  0.01 192.89175
659 4000  0.01 193.54525
660 4000  0.01 191.609
661 4000  0.01 194.60175
662 4000  0.01 191.58525
663 4000  0.01 193.04175
664 4000  0.01 190.7965
665 4000  0.01 191.41625
666 4000  0.01 189.82725
667 4000  0.01 193.001
668 4000  0.01 189.81125
669 4000  0.01 193.3015
670 4000  0.01 192.74425
671 4000  0.01 194.587
672 4000  0.01 194.508
673 4000  0.01 194.61
674 4000  0.01 193.6855
675 4000  0.01 194.5675
676 4000  0.01 193.3355
677 4000  0.01 193.44825
678 4000  0.01 193.026
679 4000  0.01 194.37125
680 4000  0.01 191.4045
681 4000  0.01 192.6635
682 4000  0.01 191.44025
683 4000  0.01 195.182
684 4000  0.01 193.085
685 4000  0.01 191.78975
686 4000  0.01 189.77675
687 4000  0.01 193.095
688 4000  0.01 189.6885
689 4000  0.01 192.035
690 4000  0.01 191.61375
691 4000  0.01 193.88625
692 4000  0.01 193.118
693 4000  0.01 193.84825
694 4000  0.01 193.15325
695 4000  0.01 193.8155
696 4000  0.01 191.53875
697 4000  0.01 193.55875
698 4000  0.01 193.48025
699 4000  0.01 194.12775
700 4000  0.01 193.28525
701 4000  0.01 193.97525
702 4000  0.01 194.36675
703 4000  0.01 194.82575
704 4000  0.01 193.56175
705 4000  0.01 193.7785
706 4000  0.01 194.004
707 4000  0.01 194.517
708 4000  0.01 194.01025
709 4000  0.01 193.789
710 4000  0.01 193.12525
711 4000  0.01 192.81725
712 4000  0.01 191.4495
713 4000  0.01 193.0905
714 4000  0.01 192.57425
715 4000  0.01 193.59225
716 4000  0.01 191.67225
717 4000  0.01 191.71525
718 4000  0.01 192.08875
719 4000  0.01 193.01525
720 4000  0.01 191.68375
721 4000  0.01 194.28
722 4000  0.01 192.5765
723 4000  0.01 192.52825
724 4000  0.01 192.45125
725 4000  0.01 194.76
726 4000  0.01 192.34525
727 4000  0.01 194.65975
728 4000  0.01 193.181
729 4000  0.01 191.6625
730 4000  0.01 191.87325
731 4000  0.01 193.812
732 4000  0.01 191.79425
733 4000  0.01 192.798
734 4000  0.01 192.169
735 4000  0.01 193.539
736 4000  0.01 193.513
737 4000  0.01 193.54275
738 4000  0.01 192.6895
739 4000  0.01 193.666
740 4000  0.01 192.49675
741 4000  0.01 194.455
742 4000  0.01 193.027
743 4000  0.01 191.59175
744 4000  0.01 192.265
745 4000  0.01 193.5255
746 4000  0.01 191.76025
747 4000  0.01 192.32575
748 4000  0.01 191.96225
749 4000  0.01 194.35925
