100 100000 0.95 gpomdp sample_bernstein 30000000

1 100 [-0.5 -0.  -0.  -0.5] 2.73701022428e-06 -26.6650121788 -19.8531404361
170 4326 [ -5.00694022e-01  -0.00000000e+00  -3.85127703e-06  -5.00549414e-01] 4.84272220537e-06 -26.6600389134 -19.3115607443
171 5925 [ -5.00694022e-01  -0.00000000e+00  -3.85127703e-06  -5.00555682e-01] 6.39086759748e-06 -26.6623606735 -19.2622701707
172 5065 [ -5.00694022e-01  -0.00000000e+00  -3.85127703e-06  -5.00563051e-01] 5.71978988251e-06 -26.6626315878 -19.3008241329
173 5324 [ -5.00700879e-01  -0.00000000e+00  -3.85127703e-06  -5.00563051e-01] 6.18911148684e-06 -26.6628692574 -19.3292081301
174 5110 [ -5.00709165e-01  -0.00000000e+00  -3.85127703e-06  -5.00563051e-01] 6.4335077046e-06 -26.6632134251 -19.2686233279
175 4382 [ -5.00709165e-01  -0.00000000e+00  -3.85127703e-06  -5.00571485e-01] 5.90079201887e-06 -26.6634202773 -19.2297070989
176 4307 [ -5.00709165e-01  -0.00000000e+00  -3.85127703e-06  -5.00579038e-01] 4.67575139407e-06 -26.6620142226 -19.2552312239
177 6085 [ -5.00709165e-01  -0.00000000e+00  -3.85127703e-06  -5.00584705e-01] 6.23517511547e-06 -26.6622765999 -19.3020148981
178 5543 [ -5.00716600e-01  -0.00000000e+00  -3.85127703e-06  -5.00584705e-01] 5.13903473496e-06 -26.6621953634 -19.2603755071
179 7120 [ -5.00716600e-01  -0.00000000e+00  -3.85127703e-06  -5.00590941e-01] 6.32050921449e-06 -26.6634625632 -19.3398145187
180 6372 [ -5.00723677e-01  -0.00000000e+00  -3.85127703e-06  -5.00590941e-01] 6.92462446772e-06 -26.66225966 -19.3371026524
181 4846 [ -5.00732742e-01  -0.00000000e+00  -3.85127703e-06  -5.00590941e-01] 6.40242340343e-06 -26.6623018571 -19.3354495192
182 4130 [ -5.00732742e-01  -0.00000000e+00  -3.85127703e-06  -5.00599470e-01] 5.97292183305e-06 -26.6617498551 -19.2821822868
183 4011 [ -5.00732742e-01  -0.00000000e+00  -3.85127703e-06  -5.00607549e-01] 4.74177282216e-06 -26.6622065355 -19.3074606332
184 5362 [ -5.00738230e-01  -0.00000000e+00  -3.85127703e-06  -5.00607549e-01] 6.32044424614e-06 -26.6603286657 -19.3348303874
