100 100000 0.95 gpomdp sample_bernstein 1000000

1 1000 [-0.5 -0.  -0.  -0.5] 1e-06 -426.666666667 -19.0814533373
164 1000 [ -5.00195099e-01  -2.89452010e-06   3.82126307e-07  -5.00194784e-01] 1e-06 -426.647909303 -19.4248566452
165 1000 [ -5.00196122e-01  -3.16634259e-06   1.93424750e-07  -5.00195858e-01] 1e-06 -426.647808551 -19.1899840942
166 1000 [ -5.00197167e-01  -2.75630824e-06   1.57464435e-07  -5.00196841e-01] 1e-06 -426.647711094 -19.2708850316
167 1000 [ -5.00198145e-01  -2.86848395e-06   2.03007749e-07  -5.00197714e-01] 1e-06 -426.647622202 -19.421259231
168 1000 [ -5.00199665e-01  -2.67871694e-06   3.74224477e-07  -5.00198560e-01] 1e-06 -426.647508525 -19.1064084408
169 1000 [ -5.00200893e-01  -2.60650690e-06   1.12768937e-07  -5.00200013e-01] 1e-06 -426.647379718 -19.2995440242
170 1000 [ -5.00201970e-01  -2.88069930e-06  -1.68378953e-07  -5.00201115e-01] 1e-06 -426.647275012 -19.1456184441
171 1000 [ -5.00203354e-01  -3.19135132e-06  -2.26525694e-07  -5.00202314e-01] 1e-06 -426.647150921 -19.2547552102
172 1000 [ -5.00204468e-01  -3.68217047e-06  -3.17976011e-07  -5.00203571e-01] 1e-06 -426.647037025 -19.4330309341
173 1000 [ -5.00205877e-01  -3.94532239e-06   1.13345284e-07  -5.00204897e-01] 1e-06 -426.646905626 -18.9776182805
174 1000 [ -5.00207291e-01  -4.14472764e-06   3.33033127e-08  -5.00206196e-01] 1e-06 -426.646775291 -19.2830331967
175 1000 [ -5.00208532e-01  -4.71783043e-06  -1.37753839e-07  -5.00207630e-01] 1e-06 -426.646646812 -19.3448722716
176 1000 [ -5.00209939e-01  -5.23875545e-06  -4.18275117e-07  -5.00208993e-01] 1e-06 -426.646513721 -19.3859958394
177 1000 [ -5.00211333e-01  -5.72684532e-06  -8.28405839e-07  -5.00210310e-01] 1e-06 -426.646383432 -19.4057635171
178 1000 [ -5.00211977e-01  -5.85527634e-06  -1.10303405e-06  -5.00211286e-01] 1e-06 -426.646305661 -19.6205757355
179 1000 [ -5.00213193e-01  -6.28285483e-06  -1.25450880e-06  -5.00212500e-01] 1e-06 -426.646188908 -19.2994210491
180 1000 [ -5.00214643e-01  -6.34276840e-06  -9.88814530e-07  -5.00213866e-01] 1e-06 -426.646053686 -19.4725961943
181 1000 [ -5.00215418e-01  -6.29794752e-06  -1.00152076e-06  -5.00214962e-01] 1e-06 -426.64596378 -19.2003638824
182 1000 [ -5.00217330e-01  -6.47757777e-06  -1.13229864e-06  -5.00216226e-01] 1e-06 -426.645811205 -19.2930808358
183 1000 [ -5.00218410e-01  -5.98337359e-06  -9.05365930e-07  -5.00216977e-01] 1e-06 -426.645723241 -19.3318835223
184 1000 [ -5.00219938e-01  -6.23855238e-06  -4.29161902e-07  -5.00217940e-01] 1e-06 -426.645603598 -19.1881084995
185 1000 [ -5.00221764e-01  -6.53854573e-06  -4.69109631e-07  -5.00219085e-01] 1e-06 -426.645460896 -19.3291461222
186 1000 [ -5.00223062e-01  -6.46241936e-06  -2.24555183e-07  -5.00220781e-01] 1e-06 -426.645317068 -19.3232758606
187 1000 [ -5.00224475e-01  -6.14901863e-06  -5.02223296e-07  -5.00222343e-01] 1e-06 -426.645174197 -19.0927912352
188 1000 [ -5.00225741e-01  -6.26423037e-06  -4.27790595e-07  -5.00223400e-01] 1e-06 -426.645062624 -19.3167920859
189 1000 [ -5.00226790e-01  -6.61068346e-06  -6.08867659e-07  -5.00224571e-01] 1e-06 -426.644956029 -19.232931727
190 1000 [ -5.00227733e-01  -6.71176124e-06  -4.96354174e-07  -5.00225495e-01] 1e-06 -426.644866352 -19.2183545871
191 1000 [ -5.00229338e-01  -6.56592222e-06  -3.84931423e-07  -5.00226769e-01] 1e-06 -426.644728066 -19.4651770636
192 1000 [ -5.00230613e-01  -6.06613472e-06  -5.07072542e-07  -5.00228117e-01] 1e-06 -426.644602112 -19.2267685708
193 1000 [ -5.00231879e-01  -5.95911430e-06  -8.12484588e-07  -5.00229097e-01] 1e-06 -426.644494219 -19.2335600149
194 1000 [ -5.00232986e-01  -6.48247102e-06  -8.66538329e-07  -5.00229850e-01] 1e-06 -426.644404908 -19.2283766651
195 1000 [ -5.00234156e-01  -6.33759596e-06  -9.59555506e-07  -5.00230914e-01] 1e-06 -426.644297633 -19.38885607
196 1000 [ -5.00235065e-01  -6.15565908e-06  -8.49240556e-07  -5.00232274e-01] 1e-06 -426.644188653 -19.3983293015
197 1000 [ -5.00235774e-01  -6.07300073e-06  -9.84115951e-07  -5.00232716e-01] 1e-06 -426.644133414 -19.1578561234
198 1000 [ -5.00236844e-01  -6.06541258e-06  -9.27556894e-07  -5.00233698e-01] 1e-06 -426.644034796 -19.3301744507
199 1000 [ -5.00237806e-01  -6.14413153e-06  -1.55859139e-06  -5.00234706e-01] 1e-06 -426.643940265 -19.3350305561
200 1000 [ -5.00238886e-01  -6.03154372e-06  -1.73506293e-06  -5.00236223e-01] 1e-06 -426.64381554 -19.3212214197
201 1000 [ -5.00239656e-01  -5.98848548e-06  -2.08534066e-06  -5.00237401e-01] 1e-06 -426.643721973 -19.4204516908
202 1000 [ -5.00240920e-01  -5.78826843e-06  -2.30385504e-06  -5.00238440e-01] 1e-06 -426.643611405 -19.305348041
